No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Nearby Places Count,Top 3-5 Nearby Places (EN | KH | Distance),English Search Keywords (Pipe Separated),Khmer Search Keywords (Pipe Separated)
106,"CHAS002","Preak Kak","Kampong Cham","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","Preak Kak","ព្រែកកក់","031510","12.255298","105.539182",3,"Stueng Trang Market (ផ្សារសតុេង ត្រាង) - 0.47km ; Krouch Chhmar Market (ផ្សារក្រូចឆ្មារ) - 10.48km ; Stueng Trang Center (ស្ទឹងត្រង់ មជ្ឈមណ្ឌល) - 0km","CHAS002 | Preak Kak | Kampong Cham | Stueng Trang | Stueng Trang Market | Krouch Chhmar Market | Stueng Trang Center","កំពង់ចាម | ស្ទឹងត្រង់ | ផ្សារសតុេង ត្រាង | ផ្សារក្រូចឆ្មារ | ស្ទឹងត្រង់ មជ្ឈមណ្ឌល"
107,"CHAS003","Soutib","Kampong Cham","កំពង់ចាម","Cheung Prey","ជើងព្រៃ","Soutib","សូទិព្វ","030308","12.053318","105.056898",5,"Phsar Skun (ផ្សារស្កុន) - 1.29km ; Spider Market () - 1.34km ; Skun Market (ផ្សារស្គន់) - 2.06km ; Market Skun (ផ្សារសកុន) - 2.08km ; Phat Chum Market (ផ្សារផាត ចុម) - 4.96km","CHAS003 | Soutib | Kampong Cham | Cheung Prey | Phsar Skun | Spider Market | Skun Market | Market Skun | Phat Chum Market","កំពង់ចាម | ជើងព្រៃ | ផ្សារស្កុន | ផ្សារស្គន់ | ផ្សារសកុន | ផ្សារផាត ចុម"
108,"CHAS004","Chrey Vien","Kampong Cham","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","Chrey Vien","ជ្រៃវៀន","031303","12.057873","105.247003",5,"Prey Tor Toeng Market (ផ្សារព្រៃទទឹង) - 1.18km ; Prey Totueng (ផ្សារព្រេយ តូតុេង) - 1.2km ; Mien Market (ផ្សារមីេន) - 5.71km ; Kor Market (ផ្សារកូរ) - 6.99km ; Wat Thmei Market (ផ្សារវាត ថមី) - 11.21km","CHAS004 | Chrey Vien | Kampong Cham | Prey Chhor | Prey Tor Toeng Market | Prey Totueng | Mien Market | Kor Market | Wat Thmei Market","កំពង់ចាម | ព្រៃឈរ | ផ្សារព្រៃទទឹង | ផ្សារព្រេយ តូតុេង | ផ្សារមីេន | ផ្សារកូរ | ផ្សារវាត ថមី"
109,"CHAS005","Svay Teab","Kampong Cham","កំពង់ចាម","Chamkar Leu","ចំការលើ","Svay Teab","ស្វាយទាប","030206","12.3140397","105.2777613",4,"Chamkar Leu Market (ផ្សារចំការលើ) - 0.17km ; Svay Teab Martket (ផ្សារស្វាយទាប) - 2.53km ; Speu Market (ផ្សារសពេុ) - 6.03km ; Tapang Deythmey Market (ផ្សារតាពាង ដេយថមេយ) - 9.29km","CHAS005 | Svay Teab | Kampong Cham | Chamkar Leu | Chamkar Leu Market | Svay Teab Martket | Speu Market | Tapang Deythmey Market","កំពង់ចាម | ចំការលើ | ផ្សារចំការលើ | ផ្សារស្វាយទាប | ផ្សារសពេុ | ផ្សារតាពាង ដេយថមេយ"
110,"CHHA001","Ou Ruessei 01","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","11.939555","104.714322",5,"Salalek5 Market (ផ្សារsalalek5) - 0.16km ; Kbal Damrey Market (ផ្សារក្បាលដំរី) - 5.06km ; Phsa Thnoal Totueng (ផ្សារ ថនូាល តូតុេង) - 7.84km ; Phsar Trach Secondary School (អនុវិទ្យាល័យ ផ្សារត្រាច) - 10.34km ; Trach Market (ផ្សារត្រាច) - 10.35km","CHHA001 | Ou Ruessei 01 | Kampong Chhnang | Kampong Tralach | Salalek5 Market | Kbal Damrey Market | Phsa Thnoal Totueng | Phsar Trach Secondary School | Trach Market","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារsalalek5 | ផ្សារក្បាលដំរី | ផ្សារ ថនូាល តូតុេង | អនុវិទ្យាល័យ ផ្សារត្រាច | ផ្សារត្រាច"
111,"CHHA002","Pongro","Kampong Cham","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","Pongro","ពង្រ","030807","12.257837","104.660942",5,"Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 0.81km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 0.81km ; Psar Ler Market (ផ្សារ លើ) - 0.94km ; Phsar Kampong Chhnang (ផ្សារលើ កំពង់ឆ្នាំង) - 1.08km ; Phsar Kroum () - 2.06km","CHHA002 | Pongro | Kampong Cham | Kaoh Soutin | Kampong Chhnang Market | Phsar Leu Kampong Chhnang | Psar Ler Market | Phsar Kampong Chhnang | Phsar Kroum","កំពង់ចាម | កោះសូទិន | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារលើ កំពង់ឆ្នាំង"
112,"CHHA003","Ou Ruessei 02","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","11.9517","104.7185",5,"Salalek5 Market (ផ្សារsalalek5) - 1.58km ; Kbal Damrey Market (ផ្សារក្បាលដំរី) - 4.61km ; Phsa Thnoal Totueng (ផ្សារ ថនូាល តូតុេង) - 6.43km ; Phsa Taches (ផ្សារ តាចេស) - 9.28km ; Phsar Trach Secondary School (អនុវិទ្យាល័យ ផ្សារត្រាច) - 11.67km","CHHA003 | Ou Ruessei 02 | Kampong Chhnang | Kampong Tralach | Salalek5 Market | Kbal Damrey Market | Phsa Thnoal Totueng | Phsa Taches | Phsar Trach Secondary School","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារsalalek5 | ផ្សារក្បាលដំរី | ផ្សារ ថនូាល តូតុេង | ផ្សារ តាចេស | អនុវិទ្យាល័យ ផ្សារត្រាច"
113,"CHHA004","Saeb","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Saeb","សែប","040508","12.0705","104.773",3,"Phsa Kompong Prasat (ផ្សារ កំពង់ ប្រាសាទ) - 0.03km ; Phsa Taches (ផ្សារ តាចេស) - 6.28km ; Phsa Thnoal Totueng (ផ្សារ ថនូាល តូតុេង) - 8.44km","CHHA004 | Saeb | Kampong Chhnang | Kampong Tralach | Phsa Kompong Prasat | Phsa Taches | Phsa Thnoal Totueng","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារ កំពង់ ប្រាសាទ | ផ្សារ តាចេស | ផ្សារ ថនូាល តូតុេង"
114,"CHHA005","Peani","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Peani","ពានី","040507","11.9234","104.7013",5,"Salalek5 Market (ផ្សារsalalek5) - 2.14km ; Kbal Damrey Market (ផ្សារក្បាលដំរី) - 6.9km ; Phsar Trach Secondary School (អនុវិទ្យាល័យ ផ្សារត្រាច) - 8.77km ; Trach Market (ផ្សារត្រាច) - 8.8km ; Phum Phsar Trach (ភូមិផ្សារត្រាច) - 8.85km","CHHA005 | Peani | Kampong Chhnang | Kampong Tralach | Salalek5 Market | Kbal Damrey Market | Phsar Trach Secondary School | Trach Market | Phum Phsar Trach","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារsalalek5 | ផ្សារក្បាលដំរី | អនុវិទ្យាល័យ ផ្សារត្រាច | ផ្សារត្រាច | ភូមិផ្សារត្រាច"
115,"CHHA006","Ta Ches","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ta Ches","តាជេស","040509","12.236991","104.669291",5,"Night Market (ផ្សាររាត្រី) - 0.16km ; Toul Karket (ផ្សារទួល ការកេត) - 1.02km ; Phsar Kampong Chhnang (ផ្សារលើ កំពង់ឆ្នាំង) - 1.56km ; Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 1.68km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 1.68km","CHHA006 | Ta Ches | Kampong Chhnang | Kampong Tralach | Night Market | Toul Karket | Phsar Kampong Chhnang | Kampong Chhnang Market | Phsar Leu Kampong Chhnang","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សាររាត្រី | ផ្សារទួល ការកេត | ផ្សារលើ កំពង់ឆ្នាំង | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង"
