No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Nearby Places Count,Top 3-5 Nearby Places (EN | KH | Distance),English Search Keywords (Pipe Separated),Khmer Search Keywords (Pipe Separated)
1,"BANA001","Chamnaom","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Chamnaom","ចំណោម","010203","13.437565","102.934632",5,"Chamnoam Market (ផ្សារចាមនូាម) - 0.62km ; Huyleng Soer (ផ្សារហុយលេង សូេរ) - 4.91km ; Soeu Market (ផ្សារសឿ) - 4.92km ; Rohat Toek Market (ផ្សាររូហាត តូេក) - 7.14km ; Phsar Phnom Thom (ផ្សារ ផនូម ធំ) - 8.62km","BANA001 | Chamnaom | Banteay Meanchey | Mongkol Borei | Chamnoam Market | Huyleng Soer | Soeu Market | Rohat Toek Market | Phsar Phnom Thom","បន្ទាយមានជ័យ | មង្គលបូរី | ផ្សារចាមនូាម | ផ្សារហុយលេង សូេរ | ផ្សារសឿ | ផ្សាររូហាត តូេក | ផ្សារ ផនូម ធំ"
2,"BANA002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.682498","102.564968",5,"Big C Supermarket Poipet () - 1.34km ; Mms Market (ផ្សារmms) - 1.39km ; Big C Market (ផ្សារ big c) - 1.5km ; Cheayden Market (ផ្សារចោយដេន) - 2.15km ; Derm Puthrea Market (ផ្សារដេរម ពុថរោ) - 2.71km","BANA002 | Paoy Paet | Banteay Meanchey | Big C Supermarket Poipet | Mms Market | Big C Market | Cheayden Market | Derm Puthrea Market","បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារmms | ផ្សារ big c | ផ្សារចោយដេន | ផ្សារដេរម ពុថរោ"
3,"BANA003","Preah Punlea","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Preah Ponlea","ព្រះពន្លា","010607","13.59106","102.973797",5,"Phalitphal Khmer (ផ្សារផាលីតផាល ខមេរ) - 0.18km ; Psar thom meanchey market () - 0.35km ; Thom Mean Chey Market (ផ្សារធំ មានជ័យ) - 0.37km ; Psar Serey Sophon () - 0.47km ; Serey Sophan Market (ផ្សារសិរីសោភ័ណ) - 0.52km","BANA003 | Preah Punlea | Banteay Meanchey | Serei Saophoan | Phalitphal Khmer | Psar thom meanchey market | Thom Mean Chey Market | Psar Serey Sophon | Serey Sophan Market","បន្ទាយមានជ័យ | សិរីសោភ័ណ | ផ្សារផាលីតផាល ខមេរ | ផ្សារធំ មានជ័យ | ផ្សារសិរីសោភ័ណ"
4,"BANA004","Phsar Kandal","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Phsar Kandal","ផ្សារកណ្តាល","011003","13.646559","102.590885",5,"Kandal Market (ផ្សារកណ្ដាល) - 0.15km ; Phum Phsar Kandal (ភូមិផ្សារកណ្ដាល) - 0.38km ; Sank Market (ផ្សារសានក) - 0.5km ; Sangkat Phsar Kandal (សង្កាត់ផ្សារកណ្ដាល) - 0.74km ; Mundul4 (ផ្សារmundul4) - 1.79km","BANA004 | Phsar Kandal | Banteay Meanchey | Paoy Paet | Kandal Market | Phum Phsar Kandal | Sank Market | Sangkat Phsar Kandal | Mundul4","បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារកណ្ដាល | ភូមិផ្សារកណ្ដាល | ផ្សារសានក | សង្កាត់ផ្សារកណ្ដាល | ផ្សារmundul4"
5,"BANA005","Ou Ruessei","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","13.69538","102.651888",5,"O’Neang Market (ផ្សារូ’នោង) - 0.12km ; Sela Khmer Market (ផ្សារសេលា ខមេរ) - 3.09km ; Brotulden Oreussei Martket (ផ្សារប្រូតុលដេន អូរឫស្សី) - 3.31km ; Prey Kub Market (ផ្សារព្រេយ កុប) - 4.46km ; Samakum Market (ផ្សារសមាគម) - 7.54km","BANA005 | Ou Ruessei | Kampong Chhnang | Kampong Tralach | O’Neang Market | Sela Khmer Market | Brotulden Oreussei Martket | Prey Kub Market | Samakum Market","កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ផ្សារូ’នោង | ផ្សារសេលា ខមេរ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារព្រេយ កុប | ផ្សារសមាគម"
6,"BANA006","Roluos","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Roluos","រលួស","010808","13.80385","102.96445",4,"Rolous Market (ផ្សាររូលអូស) - 0.14km ; Lucas Koet (ផ្សារលុកាស កូេត) - 0.76km ; Taben Market (ផ្សារតាបេន) - 3.84km ; Khav Lech Market (ផ្សារខាវ លេច) - 11.77km","BANA006 | Roluos | Banteay Meanchey | Svay Chek | Rolous Market | Lucas Koet | Taben Market | Khav Lech Market","បន្ទាយមានជ័យ | ស្វាយចេក | ផ្សាររូលអូស | ផ្សារលុកាស កូេត | ផ្សារតាបេន | ផ្សារខាវ លេច"
7,"BANA007","Phnum Touch","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Phnum Touch","ភ្នំតូច","010207","13.410764","103.017448",5,"Phsa Thmey Phnom Toch (ផ្សារ ថ្មី ផនូម តូច) - 0.09km ; Psa Chas Phnom Tooch (ផ្សារចាស់ ផនូម តូច) - 0.32km ; Phsar Phnom Thom (ផ្សារ ផនូម ធំ) - 3.75km ; Boeng Pring Market (ផ្សារបឹង ព្រីង) - 5.76km ; Ou Snguot Tmey (ផ្សារអូរស្ងួតថ្មី) - 5.89km","BANA007 | Phnum Touch | Banteay Meanchey | Mongkol Borei | Phsa Thmey Phnom Toch | Psa Chas Phnom Tooch | Phsar Phnom Thom | Boeng Pring Market | Ou Snguot Tmey","បន្ទាយមានជ័យ | មង្គលបូរី | ផ្សារ ថ្មី ផនូម តូច | ផ្សារចាស់ ផនូម តូច | ផ្សារ ផនូម ធំ | ផ្សារបឹង ព្រីង | ផ្សារអូរស្ងួតថ្មី"
8,"BANA008","Paoy Char","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Poy Char","ប៉ោយចារ","010302","13.774137","103.313281",4,"Tro Peang Thmor Market (ផ្សារត្រូ ពោង ថមូរ) - 0.53km ; Huyleng Market Phnum Srok (ផ្សារហុយលេង ផនុម ស្រូក) - 4.32km ; Huy leng phnom srok market () - 4.34km ; Tavorng Market (ផ្សារតាវូរង) - 9.43km","BANA008 | Paoy Char | Banteay Meanchey | Phnum Srok | Tro Peang Thmor Market | Huyleng Market Phnum Srok | Huy leng phnom srok market | Tavorng Market","បន្ទាយមានជ័យ | ភ្នំស្រុក | ផ្សារត្រូ ពោង ថមូរ | ផ្សារហុយលេង ផនុម ស្រូក | ផ្សារតាវូរង"
9,"BANA009","Chub Vari","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Chob Vari","ជប់វារី","010402","13.623668","103.182027",4,"Chakrey Market (ផ្សារចាក្រេយ) - 0.04km ; Kror Muon Market (ផ្សារក្រូរ មុូន) - 3.29km ; Chhnuo Mean Cheay Big Market (ផ្សារឆនុូ មោន ចោយ បីហ្គ) - 8.77km ; Ruessey Market (ផ្សារឫស្សី) - 8.78km","BANA009 | Chub Vari | Banteay Meanchey | Preah Netr Preah | Chakrey Market | Kror Muon Market | Chhnuo Mean Cheay Big Market | Ruessey Market","បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ផ្សារចាក្រេយ | ផ្សារក្រូរ មុូន | ផ្សារឆនុូ មោន ចោយ បីហ្គ | ផ្សារឫស្សី"
10,"BANA010","Banteay Chhmar","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","12.252597","105.977067",4,"Chhloung Market (ផ្សារឆ្លូង) - 0.06km ; Kam Pongkor Market (ផ្សារកាម ពូងកូរ) - 2.84km ; Pongro Market (ផ្សារពង្រ) - 6.66km ; Chher Teal Plos Market (ផ្សារឈើទាល ព្លួស) - 7.84km","BANA010 | Banteay Chhmar | Banteay Meanchey | Thma Puok | Chhloung Market | Kam Pongkor Market | Pongro Market | Chher Teal Plos Market","បន្ទាយមានជ័យ | ថ្មពួក | ផ្សារឆ្លូង | ផ្សារកាម ពូងកូរ | ផ្សារពង្រ | ផ្សារឈើទាល ព្លួស"
11,"BANA011","Kampong Svay","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Kampong Svay","កំពង់ស្វាយ","010602","13.600802","102.967587",5,"Chamka Ko Market (ផ្សារចំការគោ) - 0.15km ; Psar Chomka Kor (Psar Thmey) () - 0.18km ; Touh Market (ផ្សារតអូហ) - 1.02km ; Thom Mean Chey Market (ផ្សារធំ មានជ័យ) - 1.24km ; Psar thom meanchey market () - 1.27km","BANA011 | Kampong Svay | Banteay Meanchey | Serei Saophoan | Chamka Ko Market | Psar Chomka Kor (Psar Thmey) | Touh Market | Thom Mean Chey Market | Psar thom meanchey market","បន្ទាយមានជ័យ | សិរីសោភ័ណ | ផ្សារចំការគោ | ផ្សារតអូហ | ផ្សារធំ មានជ័យ"
12,"BANA012","Malai","Banteay Meanchey","បន្ទាយមានជ័យ","Malai","ម៉ាឡៃ","Boeng Beng","បឹងបេង","010901","13.566301","102.364078",4,"Malai Market (ផ្សារម៉ាឡៃ) - 0.12km ; Boeng Beng Market (ផ្សារបឹង បឹង) - 4.08km ; 93 Market (ផ្សារ93) - 4.87km ; Bei Sae Market (ផ្សារបី សែ) - 11.13km","BANA012 | Malai | Banteay Meanchey | Malai Market | Boeng Beng Market | 93 Market | Bei Sae Market","បន្ទាយមានជ័យ | ម៉ាឡៃ | ផ្សារម៉ាឡៃ | ផ្សារបឹង បឹង | ផ្សារ93 | ផ្សារបី សែ"
13,"BANA013","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","13.941231","103.049339",5,"Komru Market (ផ្សារកូមរុ) - 0.41km ; Banteay Market (ផ្សារបានតោយ) - 0.41km ; Chas Thma Pouk Market (ផ្សារចាស់ ថ្មពួក) - 0.64km ; Thmey Market (ផ្សារថ្មី) - 1.1km ; Boeng Trakoun Market (ផ្សារបឹង ត្រាកអូន) - 1.1km","BANA013 | Thma Puok | Banteay Meanchey | Komru Market | Banteay Market | Chas Thma Pouk Market | Thmey Market | Boeng Trakoun Market","បន្ទាយមានជ័យ | ថ្មពួក | ផ្សារកូមរុ | ផ្សារបានតោយ | ផ្សារចាស់ ថ្មពួក | ផ្សារថ្មី | ផ្សារបឹង ត្រាកអូន"
14,"BANA014","Koub","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","Koub","កូប","010502","13.608353","102.764872",5,"Ou Chrov Market (ផ្សារអូរជ្រៅ) - 1.91km ; Kuttasat Khnong Market (ផ្សារកុតតាសាត ខនូង) - 2.42km ; Ta Noung Market (ផ្សារតានូង) - 3.87km ; Phoum Thmey (ផ្សារផអូម ថ្មី) - 7.35km ; Sophy Market (ផ្សារសូផយ) - 8.28km","BANA014 | Koub | Banteay Meanchey | Ou Chrov | Ou Chrov Market | Kuttasat Khnong Market | Ta Noung Market | Phoum Thmey | Sophy Market","បន្ទាយមានជ័យ | អូរជ្រៅ | ផ្សារអូរជ្រៅ | ផ្សារកុតតាសាត ខនូង | ផ្សារតានូង | ផ្សារផអូម ថ្មី | ផ្សារសូផយ"
15,"BANA015","Changha","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","Changha","ចង្ហា","010501","13.647113","102.886313",5,"Changha Market (ផ្សារចាងហា) - 0.29km ; Sophy Market (ផ្សារសូផយ) - 5.76km ; Soeng Market (ផ្សារសូេង) - 7.04km ; Pong Ro Market (ផ្សារពង្រ) - 8.72km ; Tuk Thla (ផ្សារទឹកថ្លា) - 8.89km","BANA015 | Changha | Banteay Meanchey | Ou Chrov | Changha Market | Sophy Market | Soeng Market | Pong Ro Market | Tuk Thla","បន្ទាយមានជ័យ | អូរជ្រៅ | ផ្សារចាងហា | ផ្សារសូផយ | ផ្សារសូេង | ផ្សារពង្រ | ផ្សារទឹកថ្លា"
16,"BANA016","Phnum Lieb","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Phnum Lieb","ភ្នំលៀប","010403","13.605432","103.312393",5,"Muy Sokhom Market (ផ្សារមុយ សូខូម) - 0.2km ; Sok Leap Market (ផ្សារសូក លោព) - 4.15km ; Phnom Leap Market (ផ្សារភ្នំលាប) - 4.51km ; Kampong Tkov (ផ្សារកំពង់ តកូវ) - 11.27km ; Kralanh Market (ផ្សារក្រឡាញ់) - 11.65km","BANA016 | Phnum Lieb | Banteay Meanchey | Preah Netr Preah | Muy Sokhom Market | Sok Leap Market | Phnom Leap Market | Kampong Tkov | Kralanh Market","បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ផ្សារមុយ សូខូម | ផ្សារសូក លោព | ផ្សារភ្នំលាប | ផ្សារកំពង់ តកូវ | ផ្សារក្រឡាញ់"
17,"BANA017","Punley","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Ponley","ពន្លៃ","010303","13.76928","103.22615",3,"Tavorng Market (ផ្សារតាវូរង) - 0.14km ; Tro Peang Thmor Market (ផ្សារត្រូ ពោង ថមូរ) - 9.32km ; Phnum Srok Center (ភ្នំស្រុក មជ្ឈមណ្ឌល) - 0km","BANA017 | Punley | Banteay Meanchey | Phnum Srok | Tavorng Market | Tro Peang Thmor Market | Phnum Srok Center","បន្ទាយមានជ័យ | ភ្នំស្រុក | ផ្សារតាវូរង | ផ្សារត្រូ ពោង ថមូរ | ភ្នំស្រុក មជ្ឈមណ្ឌល"
18,"BANA018","Sla Kram","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Sla Kram","ស្លក្រាម","010803","13.832156","102.833294",3,"Khav Lech Market (ផ្សារខាវ លេច) - 4.7km ; Chamka Ko (ផ្សារចំការគោ) - 7.82km ; Svay Chek Center (ស្វាយចេក មជ្ឈមណ្ឌល) - 0km","BANA018 | Sla Kram | Banteay Meanchey | Svay Chek | Khav Lech Market | Chamka Ko | Svay Chek Center","បន្ទាយមានជ័យ | ស្វាយចេក | ផ្សារខាវ លេច | ផ្សារចំការគោ | ស្វាយចេក មជ្ឈមណ្ឌល"
19,"BANA020","Banteay Neang","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Banteay Neang","បន្ទាយនាង","010201","13.515097","103.017095",5,"Banteayneang (ផ្សារបានតោយនោង) - 0.47km ; Phsar Chamkartadourk (ផ្សារ ចាមការតាដអូរក) - 0.99km ; Phsar Mongkolborey Thmey (ផ្សារ មូងកូលបូរេយ ថ្មី) - 3.06km ; Phsar Mongkolborey (ផ្សារ មូងកូលបូរេយ) - 3.33km ; Ou Snguot Chas (ផ្សារអូរស្ងួតចាស់) - 5.16km","BANA020 | Banteay Neang | Banteay Meanchey | Mongkol Borei | Banteayneang | Phsar Chamkartadourk | Phsar Mongkolborey Thmey | Phsar Mongkolborey | Ou Snguot Chas","បន្ទាយមានជ័យ | មង្គលបូរី | ផ្សារបានតោយនោង | ផ្សារ ចាមការតាដអូរក | ផ្សារ មូងកូលបូរេយ ថ្មី | ផ្សារ មូងកូលបូរេយ | ផ្សារអូរស្ងួតចាស់"
20,"BANP001","Serei Saophoan","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Kampong Svay","កំពង់ស្វាយ","010602","13.59572","102.97069",5,"Touh Market (ផ្សារតអូហ) - 0.53km ; Thom Mean Chey Market (ផ្សារធំ មានជ័យ) - 0.64km ; Psar thom meanchey market () - 0.65km ; Phalitphal Khmer (ផ្សារផាលីតផាល ខមេរ) - 0.69km ; Chamka Ko Market (ផ្សារចំការគោ) - 0.8km","BANP001 | Serei Saophoan | Banteay Meanchey | Touh Market | Thom Mean Chey Market | Psar thom meanchey market | Phalitphal Khmer | Chamka Ko Market","បន្ទាយមានជ័យ | សិរីសោភ័ណ | ផ្សារតអូហ | ផ្សារធំ មានជ័យ | ផ្សារផាលីតផាល ខមេរ | ផ្សារចំការគោ"
21,"BANS001","Ou Ambel","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Ou Ambel","អូរអំបិល","010605","13.5852101","102.9724208",5,"Serey Sophan Market (ផ្សារសិរីសោភ័ណ) - 0.16km ; Serei Saophoan Market (ផ្សារសិរីសោភ័ណ) - 0.17km ; Psar Serey Sophon () - 0.2km ; Huy Leng 1 Market (ផ្សារហុយ លេង 1) - 0.44km ; Phalitphal Khmer (ផ្សារផាលីតផាល ខមេរ) - 0.52km","BANS001 | Ou Ambel | Banteay Meanchey | Serei Saophoan | Serey Sophan Market | Serei Saophoan Market | Psar Serey Sophon | Huy Leng 1 Market | Phalitphal Khmer","បន្ទាយមានជ័យ | សិរីសោភ័ណ | ផ្សារសិរីសោភ័ណ | ផ្សារហុយ លេង 1 | ផ្សារផាលីតផាល ខមេរ"
22,"BANS002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.65887","102.554344",5,"Samakum Kbalspen 24 Market (ផ្សារសមាគម កបាលសពេន 24) - 0.05km ; Ra Market (ផ្សាររា) - 0.25km ; Poipet International Border Checkpoint (ច្រកទ្វារអន្តរជាតិប៉ោយប៉ែត) - 0.28km ; Rong Kluea Market (ផ្សាររ៉ុងក្លឿ) - 0.43km ; Derm Puthrea Market (ផ្សារដេរម ពុថរោ) - 0.66km","BANS002 | Paoy Paet | Banteay Meanchey | Samakum Kbalspen 24 Market | Ra Market | Poipet International Border Checkpoint | Rong Kluea Market | Derm Puthrea Market","បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារសមាគម កបាលសពេន 24 | ផ្សាររា | ច្រកទ្វារអន្តរជាតិប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ផ្សារដេរម ពុថរោ"
23,"BANS003","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","13.9413014","103.049302",5,"Komru Market (ផ្សារកូមរុ) - 0.4km ; Banteay Market (ផ្សារបានតោយ) - 0.4km ; Chas Thma Pouk Market (ផ្សារចាស់ ថ្មពួក) - 0.64km ; Thmey Market (ផ្សារថ្មី) - 1.1km ; Boeng Trakoun Market (ផ្សារបឹង ត្រាកអូន) - 1.1km","BANS003 | Thma Puok | Banteay Meanchey | Komru Market | Banteay Market | Chas Thma Pouk Market | Thmey Market | Boeng Trakoun Market","បន្ទាយមានជ័យ | ថ្មពួក | ផ្សារកូមរុ | ផ្សារបានតោយ | ផ្សារចាស់ ថ្មពួក | ផ្សារថ្មី | ផ្សារបឹង ត្រាកអូន"
24,"BANS004","Srah Chik","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Srah Chik","ស្រះជីក","010305","13.74387","103.33588",3,"Huy leng phnom srok market () - 0.31km ; Huyleng Market Phnum Srok (ផ្សារហុយលេង ផនុម ស្រូក) - 0.34km ; Tro Peang Thmor Market (ផ្សារត្រូ ពោង ថមូរ) - 4.66km","BANS004 | Srah Chik | Banteay Meanchey | Phnum Srok | Huy leng phnom srok market | Huyleng Market Phnum Srok | Tro Peang Thmor Market","បន្ទាយមានជ័យ | ភ្នំស្រុក | ផ្សារហុយលេង ផនុម ស្រូក | ផ្សារត្រូ ពោង ថមូរ"
25,"BCTEST6","BCTEST6","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Treas","ទ្រាស","010807","","",1,"Svay Chek Center (ស្វាយចេក មជ្ឈមណ្ឌល) - 0km","BCTEST6 | Banteay Meanchey | Svay Chek | Svay Chek Center","បន្ទាយមានជ័យ | ស្វាយចេក | ស្វាយចេក មជ្ឈមណ្ឌល"
26,"HZ4P01","Head Office Z4","","banteay meanchey","Head Office Z4","head office z4","","head office z4","","","",1,"Head Office Z4 Center (head office z4 មជ្ឈមណ្ឌល) - 0km","HZ4P01 | Head Office Z4 | banteay meanchey | head office z4 | Head Office Z4 Center","head office z4 មជ្ឈមណ្ឌល"
27,"BATA001","Chomkar Somraong","Battambang","Battambang","Battambang","បាត់ដំបង","Chomkar Somraong","ចំការសំរោង","020304","13.129832","103.198146",5,"Psar Lu Market (ផ្សារ លុ) - 0.76km ; Po Tivong Market (ផ្សារពូ តីវូង) - 1.23km ; Somrorng Knong (ផ្សារសំរោង កនូង) - 2.22km ; Wat Leab Market (ផ្សារវាត លោប) - 2.52km ; Lucky Supermarket () - 2.54km","BATA001 | Chomkar Somraong | Battambang | Psar Lu Market | Po Tivong Market | Somrorng Knong | Wat Leab Market | Lucky Supermarket","បាត់ដំបង | ផ្សារ លុ | ផ្សារពូ តីវូង | ផ្សារសំរោង កនូង | ផ្សារវាត លោប"
28,"BATA002","Kampong Prieng","Battambang","Battambang","Sangkae","សង្កែ","Kampong Prieng","កំពង់ព្រៀង","020806","12.9489","103.3383",5,"Kompong Preang (ផ្សារកំពង់ ព្រោង) - 0.76km ; Jon Klong Market (ផ្សារជូន កលូង) - 4.3km ; Prey Touch Market (ផ្សារព្រេយ តូច) - 7.79km ; Reing Kesei (ផ្សាររីង កេសី) - 8.86km ; Svay Cheat (ផ្សារស្វាយ ចោត) - 9.51km","BATA002 | Kampong Prieng | Battambang | Sangkae | Kompong Preang | Jon Klong Market | Prey Touch Market | Reing Kesei | Svay Cheat","សង្កែ | ផ្សារកំពង់ ព្រោង | ផ្សារជូន កលូង | ផ្សារព្រេយ តូច | ផ្សាររីង កេសី | ផ្សារស្វាយ ចោត"
29,"BATA003","Phnum Sampov","Battambang","Battambang","Banan","បាណន់","Phnum Sampov","ភ្នំសំពៅ","020106","13.0296","103.1009",5,"Phnomsampov (ផ្សារភ្នំសំពៅ) - 0.1km ; Kiosk () - 0.23km ; Boeng Raing Market (ផ្សារបឹង រៃង) - 6.1km ; Market place () - 6.58km ; Snoeng Market (ផ្សារសនូេង) - 9.45km","BATA003 | Phnum Sampov | Battambang | Banan | Phnomsampov | Kiosk | Boeng Raing Market | Market place | Snoeng Market","បាណន់ | ផ្សារភ្នំសំពៅ | ផ្សារបឹង រៃង | ផ្សារសនូេង"
30,"BATA004","Vaot Ta Muem 01","Battambang","Battambang","Sangkae","សង្កែ","Vaot Ta Muem","វត្ដតាមិម","020810","13.0627","103.2032",5,"Kwaeng Market (ផ្សារខ្វែង) - 0.12km ; Kvang Market (ផ្សារកវាង) - 0.13km ; Vata Merm Market (ផ្សារវាតា មេរម) - 0.54km ; Wat Tamim Market (ផ្សារវត្តតាមិម) - 0.55km ; Phsar Leu () - 2.52km","BATA004 | Vaot Ta Muem 01 | Battambang | Sangkae | Kwaeng Market | Kvang Market | Vata Merm Market | Wat Tamim Market | Phsar Leu","សង្កែ | ផ្សារខ្វែង | ផ្សារកវាង | ផ្សារវាតា មេរម | ផ្សារវត្តតាមិម"
31,"BATA005","Tuol Ta Ek","Battambang","Battambang","Battambang","បាត់ដំបង","Tuol Ta Ek","ទួលតាឯក","020301","13.09573","103.190527",5,"Rong Lkorn Market (ផ្សាររូង លកូរន) - 0.15km ; Night market? () - 0.53km ; Sok Kheng Drink Shop () - 0.85km ; Phsar Nath (ផ្សារណាត់) - 0.98km ; Nart Market (ផ្សារនារត) - 1.03km","BATA005 | Tuol Ta Ek | Battambang | Rong Lkorn Market | Night market? | Sok Kheng Drink Shop | Phsar Nath | Nart Market","បាត់ដំបង | ផ្សាររូង លកូរន | ផ្សារណាត់ | ផ្សារនារត"
32,"BATA006","Moung","Battambang","Battambang","Moung Ruessei","មោងឫស្សី","Moung","មោង","020601","12.775837","103.448387",5,"Moung Russey Matket (ផ្សារមអូង ឫស្សី មាតកេត) - 0.07km ; New  Market () - 0.26km ; Moung Roessei Market () - 0.45km ; Chrey Market (ផ្សារជ្រៃ) - 2.74km ; Market () - 3.54km","BATA006 | Moung | Battambang | Moung Ruessei | Moung Russey Matket | New  Market | Moung Roessei Market | Chrey Market | Market","មោងឫស្សី | ផ្សារមអូង ឫស្សី មាតកេត | ផ្សារជ្រៃ"
33,"BATA007","Snoeng","Battambang","Battambang","Banan","បាណន់","Snoeng","ស្នឹង","020107","12.9784","103.0544",4,"Snoeng Market (ផ្សារសនូេង) - 1.96km ; Kiosk () - 6.61km ; Phnomsampov (ផ្សារភ្នំសំពៅ) - 7.7km ; Banan Market (ផ្សារបាណន់) - 10.21km","BATA007 | Snoeng | Battambang | Banan | Snoeng Market | Kiosk | Phnomsampov | Banan Market","បាណន់ | ផ្សារសនូេង | ផ្សារភ្នំសំពៅ | ផ្សារបាណន់"
34,"BATA008","Vaot Ta Muem 02","Battambang","Battambang","Sangkae","សង្កែ","Vaot Ta Muem","វត្ដតាមិម","020810","13.03679","103.20173",5,"Slorkram Market (ផ្សារសលូរក្រាម) - 0.01km ; Slor Kram Market (ផ្សារស្លក្រាម) - 0.05km ; Kvang Market (ផ្សារកវាង) - 2.88km ; Kwaeng Market (ផ្សារខ្វែង) - 2.91km ; Wat Tamim Market (ផ្សារវត្តតាមិម) - 3.32km","BATA008 | Vaot Ta Muem 02 | Battambang | Sangkae | Slorkram Market | Slor Kram Market | Kvang Market | Kwaeng Market | Wat Tamim Market","សង្កែ | ផ្សារសលូរក្រាម | ផ្សារស្លក្រាម | ផ្សារកវាង | ផ្សារខ្វែង | ផ្សារវត្តតាមិម"
35,"BATA009","REM SOCHEA","Battambang","Battambang","Rotonak Mondol","រតនមណ្ឌល","Reaksmei Songha","រស្មីសង្ហារ","020705","13.265685","102.945134",5,"Khnach Romeas (ផ្សារខនាច រូមោស) - 0.59km ; Borey Yin Mann (ផ្សារបុរី យីន មានន) - 7.62km ; Market () - 7.64km ; Bavel (ផ្សារបវេល) - 7.71km ; Phum Thmei Market (ផ្សារផុម ថមី) - 8.83km","BATA009 | REM SOCHEA | Battambang | Rotonak Mondol | Khnach Romeas | Borey Yin Mann | Market | Bavel | Phum Thmei Market","រតនមណ្ឌល | ផ្សារខនាច រូមោស | ផ្សារបុរី យីន មានន | ផ្សារបវេល | ផ្សារផុម ថមី"
36,"BATA010","Santepheap","Battambang","Battambang","Sampov Lun","សំពៅលូន","Santepheap","សន្ដិភាព","021004","13.432283","102.366176",4,"Borei Sopheakmongkol Market (ផ្សារបុរី សូផោកមូងកូល) - 0.34km ; Ta Lorn Market (ផ្សារតាឡន) - 0.43km ; Bei Sae Market (ផ្សារបី សែ) - 3.86km ; Boeng Beng Market (ផ្សារបឹង បឹង) - 11.09km","BATA010 | Santepheap | Battambang | Sampov Lun | Borei Sopheakmongkol Market | Ta Lorn Market | Bei Sae Market | Boeng Beng Market","សំពៅលូន | ផ្សារបុរី សូផោកមូងកូល | ផ្សារតាឡន | ផ្សារបី សែ | ផ្សារបឹង បឹង"
