No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
1,"BANA001","Chamnaom","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Chamnaom","ចំណោម","010203","13.437565","102.934632",4,"BANA001 | Chamnaom | Mongkol Borei | 010203",13,"បន្ទាយមានជ័យ | មង្គលបូរី | ចំណោម | ផ្សារអូរស្ងួតថ្មី | ផ្សារអូរស្ងួតចាស់ | ផ្សារ ភ្នំ ធំ | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារចាស់ ភ្នំ តូច | ផ្សារហុយលេង សឿ | ផ្សាររូហាត ទឹក | ផ្សារល្វា | ផ្សារចំណោម | ផ្សារសឿ"
2,"BANA002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.682498","102.564968",14,"BANA002 | Paoy Paet | 011001 | Phsar Kandal | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",24,"បន្ទាយមានជ័យ | ប៉ោយប៉ែត | និមិត្ដ | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
3,"BANA003","Preah Punlea","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Preah Ponlea","ព្រះពន្លា","010607","13.59106","102.973797",9,"BANA003 | Preah Punlea | Serei Saophoan | 010607 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",20,"បន្ទាយមានជ័យ | សិរីសោភ័ណ | ព្រះពន្លា | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចេន ខមាវ | ផ្សារចាងហា | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
4,"BANA004","Phsar Kandal","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Phsar Kandal","ផ្សារកណ្តាល","011003","13.646559","102.590885",14,"BANA004 | Phsar Kandal | Paoy Paet | 011003 | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",25,"បន្ទាយមានជ័យ | ប៉ោយប៉ែត | ផ្សារកណ្តាល | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារកូនដំរី | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
5,"BANA005","Ou Ruessei","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","13.69538","102.651888",15,"BANA005 | Ou Ruessei | Kampong Tralach | 040506 | Phsar Kandal | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",25,"កំពង់ឆ្នាំង | កំពង់ត្រឡាច | អូរឫស្សី | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារកូនដំរី | ផ្សារសេលា ខ្មែរ | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
6,"BANA006","Roluos","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Roluos","រលួស","010808","13.80385","102.96445",4,"BANA006 | Roluos | Svay Chek | 010808",7,"បន្ទាយមានជ័យ | ស្វាយចេក | រលួស | ផ្សាររលួស | ផ្សារតាបេន | ផ្សារខាវ លេច | ផ្សារលុកាស កូេត"
7,"BANA007","Phnum Touch","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Phnum Touch","ភ្នំតូច","010207","13.410764","103.017448",4,"BANA007 | Phnum Touch | Mongkol Borei | 010207",16,"បន្ទាយមានជ័យ | មង្គលបូរី | ភ្នំតូច | ផ្សារអូរស្ងួតថ្មី | ផ្សារអូរអណ្ដូង | ផ្សារអូរស្ងួតចាស់ | ផ្សារ ភ្នំ ធំ | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារបឹង ព្រីង | ផ្សារចាស់ ភ្នំ តូច | ផ្សារហុយលេង សឿ | ផ្សាររូហាត ទឹក | ផ្សារបន្ទាយនាង | ផ្សារចំណោម | ផ្សារជ្រោយ សតី | ផ្សារសឿ"
8,"BANA008","Paoy Char","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Poy Char","ប៉ោយចារ","010302","13.774137","103.313281",4,"BANA008 | Paoy Char | Phnum Srok | 010302",6,"បន្ទាយមានជ័យ | ភ្នំស្រុក | ប៉ោយចារ | ផ្សារហុយលេង ភ្នំ ស្រូក | ផ្សារតាវូរង | ផ្សារត្រូ ពោង ថ្ម"
9,"BANA009","Chub Vari","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Chob Vari","ជប់វារី","010402","13.623668","103.182027",4,"BANA009 | Chub Vari | Preah Netr Preah | 010402",7,"បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ជប់វារី | ផ្សារចាក្រេយ | ផ្សារឫស្សី | ផ្សារឆ្នួរ មាន ជ័យ ប៊ិក | ផ្សារក្រពើ មាន់"
10,"BANA010","Banteay Chhmar","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","12.252597","105.977067",4,"BANA010 | Banteay Chhmar | Thma Puok | 010701",7,"បន្ទាយមានជ័យ | ថ្មពួក | បន្ទាយឆ្មារ | ផ្សារឈើទាល ព្លួស | ផ្សារពង្រ | ផ្សារឆ្លូង | ផ្សារកាម ពូងកូរ"
11,"BANA011","Kampong Svay","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Kampong Svay","កំពង់ស្វាយ","010602","13.600802","102.967587",9,"BANA011 | Kampong Svay | Serei Saophoan | 010602 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",20,"បន្ទាយមានជ័យ | សិរីសោភ័ណ | កំពង់ស្វាយ | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចេន ខមាវ | ផ្សារចាងហា | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
12,"BANA012","Malai","Banteay Meanchey","បន្ទាយមានជ័យ","Malai","ម៉ាឡៃ","Boeng Beng","បឹងបេង","010901","13.566301","102.364078",3,"BANA012 | Malai | 010901",7,"បន្ទាយមានជ័យ | ម៉ាឡៃ | បឹងបេង | ផ្សារម៉ាឡៃ | ផ្សារ93 | ផ្សារបឹង បឹង | ផ្សារបី សែ"
13,"BANA013","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","13.941231","103.049339",3,"BANA013 | Thma Puok | 010701",11,"បន្ទាយមានជ័យ | ថ្មពួក | បន្ទាយឆ្មារ | ផ្សារថ្មី | ផ្សារចាស់ ថ្មពួក | ផ្សារកូមរុ | ផ្សារបន្ទាយ | ផ្សារបឹង ត្រាកអូន | ផ្សារថ្មដាច់កេស | ផ្សារពុមថមេយ | ផ្សារត្រោស"
14,"BANA014","Koub","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","Koub","កូប","010502","13.608353","102.764872",4,"BANA014 | Koub | Ou Chrov | 010502",10,"បន្ទាយមានជ័យ | អូរជ្រៅ | កូប | ផ្សារអូរជ្រៅ | ផ្សារផអូម ថ្មី | ផ្សារតានូង | ផ្សារកូនដំរី | ផ្សារសំរោង | ផ្សារកុតតាសាត ខនូង | ផ្សារសូផយ"
15,"BANA015","Changha","Banteay Meanchey","បន្ទាយមានជ័យ","Ou Chrov","អូរជ្រៅ","Changha","ចង្ហា","010501","13.647113","102.886313",4,"BANA015 | Changha | Ou Chrov | 010501",17,"បន្ទាយមានជ័យ | អូរជ្រៅ | ចង្ហា | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចាងហា | ផ្សារសំរោង | ផ្សារដើម ត្នោត | ផ្សារសូផយ | ផ្សារសូេង | ផ្សារទឹកថ្លា"
16,"BANA016","Phnum Lieb","Banteay Meanchey","បន្ទាយមានជ័យ","Preah Netr Preah","ព្រះនេត្រព្រះ","Phnum Lieb","ភ្នំលៀប","010403","13.605432","103.312393",4,"BANA016 | Phnum Lieb | Preah Netr Preah | 010403",8,"បន្ទាយមានជ័យ | ព្រះនេត្រព្រះ | ភ្នំលៀប | ផ្សារក្រឡាញ់ | ផ្សារភ្នំលាប | ផ្សារកំពង់ តកូវ | ផ្សារសូក លោព | ផ្សារមុយ សូខូម"
17,"BANA017","Punley","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Ponley","ពន្លៃ","010303","13.76928","103.22615",4,"BANA017 | Punley | Phnum Srok | 010303",5,"បន្ទាយមានជ័យ | ភ្នំស្រុក | ពន្លៃ | ផ្សារតាវូរង | ផ្សារត្រូ ពោង ថ្ម"
18,"BANA018","Sla Kram","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Sla Kram","ស្លក្រាម","010803","13.832156","102.833294",4,"BANA018 | Sla Kram | Svay Chek | 010803",5,"បន្ទាយមានជ័យ | ស្វាយចេក | ស្លក្រាម | ផ្សារខាវ លេច | ផ្សារចំការគោ"
19,"BANA020","Banteay Neang","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Banteay Neang","បន្ទាយនាង","010201","13.515097","103.017095",9,"BANA020 | Banteay Neang | Mongkol Borei | 010201 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",26,"បន្ទាយមានជ័យ | មង្គលបូរី | បន្ទាយនាង | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារអូរស្ងួតថ្មី | ផ្សារអូរអណ្ដូង | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារអូរស្ងួតចាស់ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារ ភ្នំ ធំ | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារអូរអំបិល | ផ្សារចាស់ ភ្នំ តូច | ផ្សារចេន ខមាវ | ផ្សាររូហាត ទឹក | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារចំណោម | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
20,"BANP001","Serei Saophoan","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Kampong Svay","កំពង់ស្វាយ","010602","13.59572","102.97069",8,"BANP001 | Serei Saophoan | 010602 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",20,"បន្ទាយមានជ័យ | សិរីសោភ័ណ | កំពង់ស្វាយ | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចេន ខមាវ | ផ្សារចាងហា | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
21,"BANS001","Ou Ambel","Banteay Meanchey","បន្ទាយមានជ័យ","Serei Saophoan","សិរីសោភ័ណ","Ou Ambel","អូរអំបិល","010605","13.5852101","102.9724208",9,"BANS001 | Ou Ambel | Serei Saophoan | 010605 | phsar mongkolborey thmey | phsar mongkolborey | tm night market | phsar mungokoloborey thmi | phsar mungokoloborey",21,"បន្ទាយមានជ័យ | សិរីសោភ័ណ | អូរអំបិល | ផ្សារសិរីសោភ័ណ | ផ្សារផលិតផល ខ្មែរ | ផ្សារធំ មានជ័យ | ផ្សាររាត្រី បន្ទាយមានជ័យ | ផ្សារហុយឡេង 1 | ផ្សារតាហ្វ | ផ្សារចំការគោ | ផ្សារអូរអំបិល | ផ្សារពង្រ | ផ្សារចេន ខមាវ | ផ្សារចាងហា | ផ្សាររូហាត ទឹក | ផ្សារបន្ទាយនាង | ផ្សារ ចំការតាដក | ផ្សារ មង្គលបុរី ថ្មី | ផ្សារដើម ត្នោត | ផ្សារ មង្គលបុរី | ផ្សារទឹកថ្លា"
22,"BANS002","Paoy Paet","Banteay Meanchey","បន្ទាយមានជ័យ","Paoy Paet","ប៉ោយប៉ែត","Nimitt","និមិត្ដ","011001","13.65887","102.554344",14,"BANS002 | Paoy Paet | 011001 | Phsar Kandal | big c market | Phsar Big C | poipet market | psar poipet border market | rong kluea border market | phum phsar kandal | Phumi Phsar Kandal | sangkat phsar kandal | Sangkeat Phsar Kandal | big c supermarket poipet",23,"បន្ទាយមានជ័យ | ប៉ោយប៉ែត | និមិត្ដ | ផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្តាល | ផ្សារាកាក | ផ្សារត្រេយ | ផ្សារប្រូតុលដេន អូរឫស្សី | ផ្សារដើម ពុថរោ | ផ្សារូ’នាង | ផ្សារ big c | ផ្សារសមាគម ក្បាលស្ពាន 24 | ផ្សាររា | ផ្សារព្រេយ កុប | ផ្សារជ័យដេន | ផ្សារmms | ផ្សារសមាគម | ផ្សារmundul4 | ផ្សារសានក | ផ្សារប៉ោយប៉ែត | ផ្សាររ៉ុងក្លឿ | ភូមិផ្សារកណ្ដាល | សង្កាត់់ផ្សារកណ្ដាល"
23,"BANS003","Thma Puok","Banteay Meanchey","បន្ទាយមានជ័យ","Thma Puok","ថ្មពួក","Banteay Chhmar","បន្ទាយឆ្មារ","010701","13.9413014","103.049302",3,"BANS003 | Thma Puok | 010701",11,"បន្ទាយមានជ័យ | ថ្មពួក | បន្ទាយឆ្មារ | ផ្សារថ្មី | ផ្សារចាស់ ថ្មពួក | ផ្សារកូមរុ | ផ្សារបន្ទាយ | ផ្សារបឹង ត្រាកអូន | ផ្សារថ្មដាច់កេស | ផ្សារពុមថមេយ | ផ្សារត្រោស"
24,"BANS004","Srah Chik","Banteay Meanchey","បន្ទាយមានជ័យ","Phnum Srok","ភ្នំស្រុក","Srah Chik","ស្រះជីក","010305","13.74387","103.33588",4,"BANS004 | Srah Chik | Phnum Srok | 010305",5,"បន្ទាយមានជ័យ | ភ្នំស្រុក | ស្រះជីក | ផ្សារហុយលេង ភ្នំ ស្រូក | ផ្សារត្រូ ពោង ថ្ម"
25,"BCTEST6","BCTEST6","Banteay Meanchey","បន្ទាយមានជ័យ","Svay Chek","ស្វាយចេក","Treas","ទ្រាស","010807","","",3,"BCTEST6 | Svay Chek | 010807",3,"បន្ទាយមានជ័យ | ស្វាយចេក | ទ្រាស"
26,"HZ4P01","Head Office Z4","","banteay meanchey","Head Office Z4","head office z4","","head office z4","","","",2,"HZ4P01 | Head Office Z4",0,""
27,"BATA001","Chomkar Somraong","Battambang","Battambang","Battambang","បាត់ដំបង","Chomkar Somraong","ចំការសំរោង","020304","13.129832","103.198146",8,"BATA001 | Chomkar Somraong | Battambang | 020304 | battambang night market | night market battambang | lucky supermarket | night market?",32,"បាត់ដំបង | ចំការសំរោង | ផ្សាររូង លកូរន | ផ្សារផអូ ពអូយ | ផ្សារវាតា មេរម | ផ្សារបឹង រៃង | ផ្សារកវាង | ផ្សារ លុ | ផ្សារាពសារា ផ្សារ លើ | ផ្សារសលូរក្រាម | ផ្សារពូ តីវូង | ផ្សារបឹង ឈូក | ផ្សារនារត | ផ្សារថ្មី | ផ្សារសំរោង កនូង | ផ្សារជ្រៃ | ផ្សារសង្កែ | ផ្សារព្រេក តា ចរែង | ផ្សារទួល តាដូក | ផ្សារព្រែកខ្ពប | ផ្សាររូកា | ផ្សារបូរេដ រាម ចេក | ផ្សារបា សែត | ផ្សារវាត លោប | ផ្សារតាពន់ | ផ្សារណាត់ | ផ្សារបឹងឈូក | ផ្សាររាត្រីបាត់ដំបង | ផ្សារវត្តតាមិម | ផ្សារខ្វែង | ផ្សារស្លក្រាម | ផ្សារណាត់ បាត់ដំបង"
28,"BATA002","Kampong Prieng","Battambang","Battambang","Sangkae","សង្កែ","Kampong Prieng","កំពង់ព្រៀង","020806","12.9489","103.3383",4,"BATA002 | Kampong Prieng | Sangkae | 020806",7,"សង្កែ | កំពង់ព្រៀង | ផ្សារជូន កលូង | ផ្សាររីង កេសី | ផ្សារស្វាយ ចោត | ផ្សារកំពង់ ព្រោង | ផ្សារព្រេយ តូច"
29,"BATA003","Phnum Sampov","Battambang","Battambang","Banan","បាណន់","Phnum Sampov","ភ្នំសំពៅ","020106","13.0296","103.1009",4,"BATA003 | Phnum Sampov | Banan | 020106",12,"បាណន់ | ភ្នំសំពៅ | ផ្សារភ្នំសំពៅ | ផ្សារផអូ ពអូយ | ផ្សារបឹង រៃង | ផ្សារកវាង | ផ្សារសលូរក្រាម | ផ្សារបាណន់ | ផ្សារជ្រៃ | ផ្សារសនូេង | ផ្សារខ្វែង | ផ្សារស្លក្រាម"
30,"BATA004","Vaot Ta Muem 01","Battambang","Battambang","Sangkae","សង្កែ","Vaot Ta Muem","វត្ដតាមិម","020810","13.0627","103.2032",8,"BATA004 | Vaot Ta Muem 01 | Sangkae | 020810 | battambang night market | night market battambang | lucky supermarket | night market?",32,"សង្កែ | វត្ដតាមិម | ផ្សាររូង លកូរន | ផ្សារភ្នំសំពៅ | ផ្សារផអូ ពអូយ | ផ្សារវាតា មេរម | ផ្សារបឹង រៃង | ផ្សារកវាង | ផ្សារ លុ | ផ្សារាពសារា ផ្សារ លើ | ផ្សារសលូរក្រាម | ផ្សារពូ តីវូង | ផ្សារបឹង ឈូក | ផ្សារនារត | ផ្សារថ្មី | ផ្សារសំរោង កនូង | ផ្សារជ្រៃ | ផ្សារកូម នូប | ផ្សារសង្កែ | ផ្សារព្រេក តា ចរែង | ផ្សារព្រែកខ្ពប | ផ្សាររូកា | ផ្សារបូរេដ រាម ចេក | ផ្សារវាត លោប | ផ្សារតាពន់ | ផ្សារណាត់ | ផ្សារបឹងឈូក | ផ្សាររាត្រីបាត់ដំបង | ផ្សារវត្តតាមិម | ផ្សារខ្វែង | ផ្សារស្លក្រាម | ផ្សារណាត់ បាត់ដំបង"
31,"BATA005","Tuol Ta Ek","Battambang","Battambang","Battambang","បាត់ដំបង","Tuol Ta Ek","ទួលតាឯក","020301","13.09573","103.190527",8,"BATA005 | Tuol Ta Ek | Battambang | 020301 | battambang night market | night market battambang | lucky supermarket | night market?",32,"បាត់ដំបង | ទួលតាឯក | ផ្សាររូង លកូរន | ផ្សារផអូ ពអូយ | ផ្សារវាតា មេរម | ផ្សារបឹង រៃង | ផ្សារកវាង | ផ្សារ លុ | ផ្សារាពសារា ផ្សារ លើ | ផ្សារសលូរក្រាម | ផ្សារពូ តីវូង | ផ្សារបឹង ឈូក | ផ្សារនារត | ផ្សារថ្មី | ផ្សារសំរោង កនូង | ផ្សារជ្រៃ | ផ្សារកូម នូប | ផ្សារសង្កែ | ផ្សារព្រេក តា ចរែង | ផ្សារទួល តាដូក | ផ្សារព្រែកខ្ពប | ផ្សាររូកា | ផ្សារបូរេដ រាម ចេក | ផ្សារវាត លោប | ផ្សារតាពន់ | ផ្សារណាត់ | ផ្សារបឹងឈូក | ផ្សាររាត្រីបាត់ដំបង | ផ្សារវត្តតាមិម | ផ្សារខ្វែង | ផ្សារស្លក្រាម | ផ្សារណាត់ បាត់ដំបង"
32,"BATA006","Moung","Battambang","Battambang","Moung Ruessei","មោងឫស្សី","Moung","មោង","020601","12.775837","103.448387",4,"BATA006 | Moung | Moung Ruessei | 020601",7,"មោងឫស្សី | មោង | ផ្សារព្រៃស្វាយ | ផ្សារកាកូាសហ | ផ្សារជ្រៃ | ផ្សារតាលៅស | ផ្សារមអូង ឫស្សី មាតកេត"
33,"BATA007","Snoeng","Battambang","Battambang","Banan","បាណន់","Snoeng","ស្នឹង","020107","12.9784","103.0544",4,"BATA007 | Snoeng | Banan | 020107",5,"បាណន់ | ស្នឹង | ផ្សារភ្នំសំពៅ | ផ្សារបាណន់ | ផ្សារសនូេង"
34,"BATA008","Vaot Ta Muem 02","Battambang","Battambang","Sangkae","សង្កែ","Vaot Ta Muem","វត្ដតាមិម","020810","13.03679","103.20173",8,"BATA008 | Vaot Ta Muem 02 | Sangkae | 020810 | battambang night market | night market battambang | lucky supermarket | night market?",31,"សង្កែ | វត្ដតាមិម | ផ្សាររូង លកូរន | ផ្សារភ្នំសំពៅ | ផ្សារផអូ ពអូយ | ផ្សារវាតា មេរម | ផ្សារបឹង រៃង | ផ្សារកវាង | ផ្សារ លុ | ផ្សារាពសារា ផ្សារ លើ | ផ្សារសលូរក្រាម | ផ្សារពូ តីវូង | ផ្សារបឹង ឈូក | ផ្សារនារត | ផ្សារបាណន់ | ផ្សារថ្មី | ផ្សារសំរោង កនូង | ផ្សាររីង កេសី | ផ្សារជ្រៃ | ផ្សារកូម នូប | ផ្សារសង្កែ | ផ្សាររូកា | ផ្សារបូរេដ រាម ចេក | ផ្សារវាត លោប | ផ្សារណាត់ | ផ្សារបឹងឈូក | ផ្សាររាត្រីបាត់ដំបង | ផ្សារវត្តតាមិម | ផ្សារខ្វែង | ផ្សារស្លក្រាម | ផ្សារណាត់ បាត់ដំបង"
35,"BATA009","REM SOCHEA","Battambang","Battambang","Rotonak Mondol","រតនមណ្ឌល","Reaksmei Songha","រស្មីសង្ហារ","020705","13.265685","102.945134",5,"BATA009 | REM SOCHEA | Rotonak Mondol | 020705 | borey yin mann",8,"រតនមណ្ឌល | រស្មីសង្ហារ | ផ្សារកុក ខមុម | ផ្សារបវេល | ផ្សារខ្នាច រមាស | ផ្សារល្វា | ផ្សារផុម ថមី | ផ្សារបុរី យីន មានន"
36,"BATA010","Santepheap","Battambang","Battambang","Sampov Lun","សំពៅលូន","Santepheap","សន្ដិភាព","021004","13.432283","102.366176",4,"BATA010 | Santepheap | Sampov Lun | 021004",6,"សំពៅលូន | សន្ដិភាព | ផ្សារបឹង បឹង | ផ្សារបុរី សូផោកមង្គល | ផ្សារតាឡន | ផ្សារបី សែ"
37,"BATA011","Boeng Reang","Battambang","Battambang","Kamrieng","កំរៀង","Boeng Reang","បឹងរាំង","021202","13.087139","102.446107",4,"BATA011 | Boeng Reang | Kamrieng | 021202",4,"កំរៀង | បឹងរាំង | ផ្សារក្រដ | ផ្សារត្រាវី"
38,"BATA012","Bour","Battambang","Battambang","Phnum Proek","ភ្នំព្រឹក","Bour","បួរ","021103","13.283736","102.615651",4,"BATA012 | Bour | Phnum Proek | 021103",4,"ភ្នំព្រឹក | បួរ | ផ្សារបឹង សាងកេរ | ផ្សារបូ"
39,"BATA013","Pech Chenda 01","Battambang","Battambang","Phnum Proek","ភ្នំព្រឹក","Pech Chenda","ពេជ្រចិន្ដា","021102","13.222725","102.391644",4,"BATA013 | Pech Chenda 01 | Phnum Proek | 021102",3,"ភ្នំព្រឹក | ពេជ្រចិន្ដា | ផ្សារហេង ថេង ពេចានដា"
40,"BATA014","Pech Chenda 02","Battambang","Battambang","Phnum Proek","ភ្នំព្រឹក","Pech Chenda","ពេជ្រចិន្ដា","021102","13.2117","102.532803",4,"BATA014 | Pech Chenda 02 | Phnum Proek | 021102",3,"ភ្នំព្រឹក | ពេជ្រចិន្ដា | ផ្សារពលអូវ ប្រាម"
41,"BATA015","Sdok Pravoek","Battambang","Battambang","Rukh Kiri","រុក្ខគិរី","Sdok Pravoek","ស្តុកប្រវឹក","021404","12.603483","103.490935",4,"BATA015 | Sdok Pravoek | Rukh Kiri | 021404",6,"រុក្ខគិរី | ស្តុកប្រវឹក | ផ្សារព្រេក ចីក | ផ្សារស្តុកព្រៃ | ផ្សារturkish | ផ្សារឫស្សី ក្រាង"
42,"BATA016","Ta Kream","Battambang","Battambang","Banan","បាណន់","Ta Kream","តាគ្រាម","020108","13.090324","103.023334",4,"BATA016 | Ta Kream | Banan | 020108",4,"បាណន់ | តាគ្រាម | ផ្សារភ្នំសំពៅ | ផ្សារតាង៉ែន"
43,"BATA017","Ta Sanh","Battambang","Battambang","Samlout","សំឡូត","Ta Sanh","តាសាញ","020907","12.616636","102.858967",4,"BATA017 | Ta Sanh | Samlout | 020907",4,"សំឡូត | តាសាញ | ផ្សារមានជ័យ | ផ្សារសាមលអូត"
