No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
123,"CHHA014","Krang Leav","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Krang Leav","ក្រាំងលាវ","040606","12.26828","104.610975",6,"CHHA014 | Krang Leav | Rolea B'ier | 040606 | kampong chhnang central market | night market",12,"កំពង់ឆ្នាំង | រលាប្អៀរ | ក្រាំងលាវ | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
124,"CHHA015","Chrey Bak","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Chrey Bak","ជ្រៃបាក់","040604","12.198668","104.653831",6,"CHHA015 | Chrey Bak | Rolea B'ier | 040604 | kampong chhnang central market | night market",14,"កំពង់ឆ្នាំង | រលាប្អៀរ | ជ្រៃបាក់ | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
125,"CHHA016","Chieb","Kampong Chhnang","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","Chieb","ជៀប","040802","12.257837","104.660942",6,"CHHA016 | Chieb | Tuek Phos | 040802 | kampong chhnang central market | night market",14,"កំពង់ឆ្នាំង | ទឹកផុស | ជៀប | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
126,"CHHA017","Prey Kri 02","Kampong Chhnang","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","Prey Kri","ព្រៃគ្រី","040205","12.257837","104.660942",6,"CHHA017 | Prey Kri 02 | Chol Kiri | 040205 | kampong chhnang central market | night market",14,"កំពង់ឆ្នាំង | ជលគីរី | ព្រៃគ្រី | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
127,"CHHA018","Rolea B'ier","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Andoung Snay","អណ្ដូងស្នាយ","040601","12.236872","104.669272",5,"CHHA018 | Rolea B'ier | 040601 | kampong chhnang central market | night market",14,"កំពង់ឆ្នាំង | រលាប្អៀរ | អណ្ដូងស្នាយ | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
128,"CHHA019","Kampong Chhnang","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","Phsar Chhnang","ផ្សារឆ្នាំង","040301","12.246661","104.671258",5,"CHHA019 | Kampong Chhnang | 040301 | kampong chhnang central market | night market",13,"កំពង់ឆ្នាំង | ផ្សារឆ្នាំង | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
129,"CHHA020","Krang Lvea","Kampong Chhnang","កំពង់ឆ្នាំង","Sameakki Mean Chey","សាមគ្គីមានជ័យ","Krang Lvea","ក្រាំងល្វា","040703","11.973961","104.561273",4,"CHHA020 | Krang Lvea | Sameakki Mean Chey | 040703",5,"កំពង់ឆ្នាំង | សាមគ្គីមានជ័យ | ក្រាំងល្វា | ផ្សារក្រាំងល្វា មារកេ | ផ្សាររមាស"
130,"CHHA021","Lungveaek","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Longveaek","លង្វែក","040505","11.889892","104.708955",5,"CHHA021 | Lungveaek | Kampong Tralach | 040505 | night market",14,"កំពង់ឆ្នាំង | កំពង់ត្រឡាច | លង្វែក | ផ្សារូដូងក | ផ្សារ តបែង ខពូស | ផ្សារsalalek5 | ផ្សារកាមកូង លុូង | ផ្សារត្រាច | ផ្សារក្បាលដំរី | ផ្សារឧដុង្គ | ភូមិផ្សារត្រាច | ផ្សាររាត្រី | សាលាបឋមសិក្សា ផ្សារត្រាច | អនុវិទ្យាល័យ ផ្សារត្រាច"
131,"CHHA022","B'er","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","B'er","ប្អេរ","040303","12.257863","104.660945",6,"CHHA022 | B'er | Kampong Chhnang | 040303 | kampong chhnang central market | night market",13,"កំពង់ឆ្នាំង | ប្អេរ | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
132,"CHHA023","Rolea Bier","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Andoung Snay","អណ្ដូងស្នាយ","040601","12.166712","104.66471",6,"CHHA023 | Rolea Bier | Rolea B'ier | 040601 | kampong chhnang central market | night market",12,"កំពង់ឆ្នាំង | រលាប្អៀរ | អណ្ដូងស្នាយ | ផ្សារទួល ការកេត | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ ផអូម ចាស់ | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
